catcher_id,jobma_catcher_status,jobma_catcher_type,subscription_status,subscription_type,referral_credit,is_premium,sub_user,company_size,per_sub_user,number_of_logins,jobma_login_status,days_since_login,wallet_sum,plan_type,is_unlimited,subscription_sum,subscription_count,currency,premium_plan_id,pre_recorded_kit_counts,number_of_jobs_posted,number_of_invitations,number_of_pitcher_applied,pre_rec_interviews_counts,live_interviews_counts,ai_kit_counts,ai_interviews_counts
360,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
387,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,1.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0
414,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1814.0,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,1,0,2,0,0,1,999,1-25,100.0,1.0,1.0,147.0,0.0,0.0,0.0,199.0,3.0,0,3.0,24.0,35.0,1.0,794.0,677.0,1.0,0.0,0.0
447,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,0,0,2,0,0,1,999,1-25,100.0,1.0,1.0,1117.8183765377855,0.0,0.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
