catcher_id,subscription_sum,subscription_count,currency
1402,99.0,1,0
1403,99.0,1,0
1404,99.0,1,0
1405,99.0,1,0
1406,519.0,4,0
1407,99.0,1,0
1408,99.0,1,0
1409,99.0,1,0
1410,495.0,5,0
1411,99.0,1,0
1412,99.0,1,0
1413,99.0,1,0
1414,99.0,1,0
1417,0.0,1,0
1418,0.0,1,0
1419,0.0,1,0
1420,0.0,1,0
1421,0.0,1,0
1422,99.0,1,0
1423,0.0,1,0
1424,0.0,1,0
1425,0.0,1,0
1426,0.0,1,0
1427,0.0,1,0
1428,0.0,1,0
1429,0.0,1,0
1430,0.0,1,0
1431,99.0,1,0
1432,99.0,1,0
1433,0.0,1,0
1434,0.0,1,0
1435,99.0,1,0
1436,99.0,1,0
1437,99.0,1,0
1438,99.0,1,0
1439,99.0,1,0
1440,99.0,1,0
1441,0.0,1,0
1443,99.0,1,0
1444,0.0,1,0
1445,99.0,1,0
1446,0.0,1,0
1447,0.0,1,0
1448,0.0,1,0
1449,99.0,1,0
1450,99.0,1,0
1451,99.0,1,0
1452,0.0,1,0
1453,0.0,1,0
1454,0.0,1,1
1455,0.0,1,0
1458,0.0,1,0
1459,0.0,1,0
1460,0.0,1,0
1461,0.0,1,0
1462,0.0,1,0
1463,0.0,1,0
1464,0.0,1,0
1465,0.0,1,0
1466,0.0,1,1
1467,0.0,1,0
1468,99.0,1,0
1469,0.0,1,0
1470,0.0,3,1
1471,0.0,1,1
1472,0.0,4,0
1477,99.0,1,0
1478,99.0,1,0
1479,99.0,1,0
1480,99.0,1,0
1481,99.0,1,0
1482,99.0,1,0
1483,99.0,1,0
1484,0.0,1,0
1485,0.0,1,0
1487,99.0,1,0
1488,99.0,1,0
1489,99.0,1,0
1490,398.0,3,0
1520,99.0,1,0
1525,198.0,2,0
1528,0.0,1,0
1547,0.0,1,1
1582,199.0,1,0
1583,199.0,1,0
1584,398.0,2,0
1585,199.0,1,0
1586,199.0,1,0
1587,199.0,1,0
1589,0.0,1,0
1592,199.0,1,0
1593,199.0,1,0
1594,199.0,1,0
1595,0.0,1,0
1598,0.0,1,0
1599,199.0,1,0
1600,0.0,1,0
1602,199.0,1,0
1603,199.0,1,0
1605,199.0,1,0
1606,199.0,1,0
1607,199.0,1,0
1608,199.0,1,0
1609,199.0,1,0
1610,199.0,1,0
1611,199.0,1,0
1612,199.0,1,0
1613,199.0,1,0
1614,199.0,1,0
1615,199.0,1,0
1616,199.0,1,0
1617,199.0,1,0
1618,0.0,1,0
1619,199.0,1,0
1620,199.0,1,0
1621,199.0,1,0
1627,199.0,1,0
1636,199.0,1,0
1637,199.0,1,0
1638,0.0,1,0
1639,0.0,1,0
1640,199.0,1,0
1641,199.0,1,0
1642,199.0,1,0
1643,0.0,1,0
1644,199.0,1,0
1645,0.0,1,0
1646,199.0,1,0
1647,199.0,1,0
1653,0.0,1,0
1655,349.0,3,0
1657,0.0,1,1
1658,199.0,1,0
1660,199.0,1,0
1661,0.0,1,0
1670,0.0,1,0
1674,199.0,1,0
1683,199.0,1,0
1684,199.0,1,0
1691,199.0,1,0
1692,2664.0,16,0
1693,199.0,1,0
1697,199.0,1,0
1700,199.0,1,0
1702,199.0,1,0
1703,199.0,1,0
1705,0.0,1,0
1706,0.0,1,0
1710,199.0,1,0
1713,199.0,1,0
1715,199.0,1,0
1717,199.0,1,0
1719,0.0,1,0
1722,199.0,1,0
1724,199.0,1,0
1725,199.0,1,0
1726,199.0,1,0
1727,0.0,1,0
1728,199.0,1,0
1729,0.0,1,0
1730,199.0,1,0
1742,199.0,1,0
1743,100.0,3,0
1745,199.0,1,0
1746,0.0,1,0
1748,199.0,1,0
1762,0.0,1,0
1763,0.0,1,0
1766,199.0,1,0
1769,199.0,1,0
1770,0.0,1,0
1774,0.0,1,0
1776,199.0,1,0
1778,199.0,1,0
1781,199.0,1,0
1782,199.0,1,0
1785,199.0,1,0
1787,0.0,1,1
1796,199.0,1,0
1800,199.0,1,0
1801,199.0,1,0
1802,199.0,1,0
1810,199.0,1,0
1811,199.0,1,0
1828,200.0,2,0
1839,59275.4,10,0
1841,199.0,1,0
1842,398.0,2,0
1843,199.0,1,0
1850,199.0,1,0
1851,199.0,1,0
1852,199.0,1,0
1853,199.0,1,0
1854,199.0,1,0
1856,0.0,1,0
