jobma_catcher_id,company_size,is_premium,subscription_status,jobma_catcher_status,sub_users,wallet_amount,is_unlimited,plan_type,subscription_sum,subscription_count,invitations,pre_recorded_kit_counts,number_of_jobs_posted,pre_rec_interview_taken,days_since_login
2968,1-25,1,2,1,0,60.0,0,0,23.5,1,0,0,1,0,1641-5000
2969,26-100,1,2,1,0,60.0,0,0,23.5,1,0,0,1,0,1641-5000
2970,101-500,1,2,1,0,60.0,0,1,23.5,1,0,0,1,0,1641-5000
2971,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0-323
2972,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0-323
2973,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,1,0,1641-5000
2974,101-500,1,2,1,0,60.0,0,1,1.2,1,0,0,1,0,1641-5000
2975,26-100,1,2,1,0,60.0,0,0,1.2,1,0,0,1,0,1641-5000
2976,26-100,1,2,1,0,60.0,0,1,1.2,1,0,0,1,0,1641-5000
2977,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1641-5000
2978,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1641-5000
2979,26-100,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1641-5000
2980,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1641-5000
2981,26-100,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1641-5000
2982,1-25,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,0-323
2983,1-25,0,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1351-1500
2984,1-25,1,2,1,0,60.0,0,0,0.0,1,28,4,2,0,1641-5000
2985,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0-323
2986,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0-323
2987,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0-323
2988,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0-323
2989,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0-323
2990,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,0-323
2991,26-100,1,2,1,0,60.0,0,0,117.6,1,0,0,2,0,1641-5000
2992,26-100,1,2,1,0,60.0,0,1,117.6,1,0,0,1,0,1641-5000
2993,26-100,1,2,1,0,60.0,0,0,117.6,1,0,0,1,0,1641-5000
2994,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1641-5000
2997,26-100,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1641-5000
2998,101-500,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1641-5000
2999,1-25,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1641-5000
3000,101-500,0,2,1,0,60.0,0,1,141.10000000000002,2,0,0,0,0,0-323
3001,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1641-5000
3002,1-25,0,2,1,0,60.0,0,1,0.3,1,1,1,1,1,0-323
3003,26-100,0,2,1,0,60.0,0,1,138.8,1,0,0,1,0,1641-5000
3004,26-100,0,2,1,0,60.0,0,1,0.6,1,0,0,1,0,0-323
3005,26-100,1,2,1,0,60.0,0,0,1.2,1,0,0,1,0,0-323
3006,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,1,0,1641-5000
3007,1-25,1,2,1,0,60.0,0,0,0.0,1,0,0,0,0,0-323
3009,1-25,1,2,1,0,60.0,0,0,1.2,1,0,0,2,0,1641-5000
3010,1-25,1,2,1,0,60.0,0,0,0.0,1,0,0,1,0,1641-5000
3011,1-25,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1641-5000
3012,1-25,0,2,1,1,60.0,0,1,0.6,1,5,2,5,2,1641-5000
3013,500-1000,1,2,1,0,60.0,0,1,13.9,1,0,0,0,0,0-323
3014,26-100,1,2,1,0,60.0,0,0,0.1,1,0,0,0,0,1641-5000
3015,101-500,1,2,1,0,60.0,0,1,0.0,1,0,0,0,0,1641-5000
3016,1-25,1,2,1,0,60.0,0,0,3.5,1,0,0,0,0,1641-5000
3017,26-100,1,2,1,0,60.0,0,1,3.5,1,0,0,0,0,1641-5000
3018,1-25,1,2,1,0,60.0,0,1,4.2,1,0,0,0,0,1641-5000
3020,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1641-5000
3021,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1641-5000
3022,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1641-5000
3023,101-500,0,2,0,0,60.0,0,1,0.6,1,0,0,0,0,1641-5000
3024,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1641-5000
3025,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1641-5000
3026,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1641-5000
3027,1-25,0,2,1,1,60.0,0,1,0.3,1,0,0,0,0,1641-5000
3029,1-25,0,2,1,0,60.0,0,1,2.3,4,0,0,0,0,1641-5000
