jobma_catcher_id,company_size,currency,is_premium,subscription_status,jobma_catcher_status,sub_users,wallet_amount,is_unlimited,plan_type,subscription_sum,subscription_count,invitations,pre_recorded_kit_counts,number_of_jobs_posted,pre_rec_interview_taken
3285,26-100,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,0.0,0.0
3286,26-100,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
3288,1-25,0,1,2,1,1.0,60.0,0,0,10.0,1,0.0,0.0,0.0,0.0
3289,26-100,0,1,2,1,1.0,60.0,0,0,140.0,1,0.0,1.0,1.0,0.0
3291,101-500,0,1,2,1,0.0,60.0,1,0,200.0,2,3.0,1.0,1.0,1.0
3292,26-100,0,1,2,1,1.0,60.0,1,0,100.0,1,0.0,0.0,0.0,0.0
3293,101-500,1,1,2,1,0.0,60.0,1,1,100.0,1,1.0,1.0,1.0,1.0
3294,1-25,1,1,2,1,0.0,60.0,1,1,336.0,3,0.0,0.0,0.0,0.0
3297,1-25,0,0,1,1,0.0,60.0,0,0,1711.0,6,0.0,0.0,0.0,0.0
3298,1-25,0,1,2,1,0.0,60.0,1,0,200.0,2,0.0,0.0,0.0,0.0
3299,26-100,0,1,2,1,0.0,60.0,1,0,1.0,1,0.0,0.0,0.0,0.0
3303,26-100,1,1,2,1,0.0,60.0,1,1,1000.0,1,1.0,1.0,1.0,1.0
3304,26-100,0,1,2,1,0.0,60.0,1,0,122.0,1,0.0,0.0,0.0,0.0
3305,26-100,1,1,2,1,0.0,60.0,1,1,1180.0,1,3.0,1.0,1.0,2.0
3306,101-500,0,1,2,1,0.0,60.0,0,0,15.0,1,0.0,0.0,0.0,0.0
3307,101-500,1,0,2,1,0.0,60.0,0,1,1180.0,1,0.0,0.0,0.0,0.0
3308,101-500,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3309,26-100,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3310,26-100,0,0,2,1,0.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3311,101-500,0,0,2,1,0.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3312,26-100,0,0,2,1,0.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3313,500-1000,0,0,2,1,0.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3314,26-100,1,0,2,1,0.0,60.0,0,1,118.0,1,0.0,0.0,0.0,0.0
3315,26-100,0,0,2,1,0.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3316,1-25,1,0,2,1,0.0,60.0,0,1,53.1,1,0.0,0.0,0.0,0.0
3317,26-100,0,1,2,1,1.0,60.0,0,0,209.0,2,178.0,1.0,1.0,0.0
3318,1-25,1,1,2,1,1.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
3320,1-25,0,1,2,1,1.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3322,101-500,0,1,2,1,1.0,60.0,0,0,20000.0,1,0.0,0.0,0.0,0.0
3324,1-25,1,0,2,1,1.0,60.0,0,1,1180.0,1,1.0,2.0,2.0,0.0
3325,1-25,0,1,2,1,1.0,60.0,1,0,10500.0,1,0.0,0.0,0.0,0.0
3327,26-100,1,1,2,1,0.0,60.0,1,1,100.0,1,0.0,0.0,0.0,0.0
3328,26-100,1,1,2,1,1.0,60.0,0,1,4500.0,1,0.0,0.0,0.0,0.0
3329,26-100,0,1,2,1,0.0,60.0,0,0,100.0,1,0.0,0.0,0.0,0.0
3330,26-100,1,1,2,1,0.0,60.0,1,1,1000.0,1,0.0,0.0,0.0,0.0
3332,1-25,1,1,2,1,0.0,60.0,1,1,9267.72,1,0.0,0.0,0.0,0.0
3333,1-25,0,1,2,1,0.0,60.0,1,0,7000.0,1,0.0,0.0,0.0,0.0
3334,1-25,0,1,2,1,0.0,60.0,1,0,1100.0,2,6.0,1.0,1.0,1.0
3336,26-100,1,0,2,1,0.0,60.0,0,1,11.8,1,0.0,0.0,0.0,0.0
3337,26-100,1,1,2,1,0.0,60.0,0,1,11800.0,1,0.0,0.0,0.0,0.0
3339,26-100,1,0,2,1,0.0,60.0,0,1,11800.0,1,0.0,0.0,0.0,0.0
3340,26-100,0,1,2,1,0.0,60.0,0,0,199.0,1,0.0,0.0,0.0,0.0
3341,101-500,0,1,2,1,0.0,60.0,1,0,1000.0,1,0.0,0.0,0.0,0.0
3342,101-500,1,1,2,1,0.0,60.0,1,1,1118.0,2,0.0,0.0,0.0,0.0
3343,26-100,0,1,2,1,0.0,60.0,0,0,3500.0,2,0.0,0.0,0.0,0.0
3344,26-100,1,1,2,1,0.0,60.0,0,1,2360.0,2,0.0,0.0,0.0,0.0
3345,1-25,1,1,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3346,26-100,1,0,2,1,0.0,60.0,0,1,1.18,1,0.0,0.0,0.0,0.0
3347,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
3348,1-25,1,0,2,1,0.0,60.0,0,1,23.6,1,0.0,0.0,0.0,0.0
