catcher_id,wallet_sum,subscription_type,plan_type,is_unlimited
1479,550.0,0,0,0
1480,100.0,0,0,0
1481,550.0,0,0,0
1482,550.0,0,0,0
1483,100.0,0,0,0
1484,1500.0,0,1,0
1485,1500.0,0,1,0
1487,99.0,0,0,0
1488,100.0,0,0,0
1489,100.0,0,0,0
1490,110.0,0,0,0
1520,694.0,0,0,0
1525,38.75,0,0,0
1528,4000.0,0,1,0
1547,1497.0,0,1,0
1582,0.0,0,0,0
1583,200.0,0,0,0
1584,284.0,0,0,0
1585,550.0,0,0,0
1586,550.0,0,0,0
1587,294.0,0,0,0
1589,1500.0,0,1,0
1592,536.0,0,0,0
1593,0.0,0,0,0
1594,550.0,0,0,0
1595,1500.0,0,1,0
1598,50008.33,0,1,0
1599,0.0,1,0,0
1600,6998.9,0,1,0
1602,641.0,0,0,0
1603,650.0,0,0,0
1605,650.0,0,0,0
1606,650.0,0,0,0
1607,648.0,0,0,0
1608,2389.0,0,0,0
1609,650.0,0,0,0
1610,2400.0,0,0,0
1611,650.0,0,0,0
1612,650.0,0,0,0
1613,650.0,0,0,0
1614,650.0,0,0,0
1615,650.0,0,0,0
1616,200.0,0,0,0
1617,650.0,0,0,0
1618,1600.0,0,1,0
1619,650.0,0,0,0
1620,650.0,0,0,0
1621,650.0,0,0,0
1627,643.0,0,0,0
1636,650.0,0,0,0
1637,197.0,0,0,0
1638,1600.0,0,1,0
1639,1600.0,0,1,0
1640,650.0,0,0,0
1641,200.0,0,0,0
1642,650.0,0,0,0
1643,1600.0,0,1,0
1644,2400.0,0,0,0
1645,4100.0,0,1,0
1646,200.0,0,0,0
1647,650.0,0,0,0
1653,4100.0,0,1,0
1655,830.0,0,0,0
1657,7113.08,0,1,0
1658,649.0,0,0,0
1660,200.0,0,0,0
1661,1600.0,0,1,0
1670,1598.5,0,1,0
1674,650.0,0,0,0
1683,100.0,0,0,0
1684,167.0,0,0,0
1691,200.0,0,0,0
1692,174.0,0,0,0
1693,650.0,0,0,0
1697,642.0,0,0,0
1700,199.0,0,0,0
1702,650.0,0,0,0
1703,200.0,0,0,0
1705,1600.0,0,1,0
1706,1595.5,0,1,0
1710,624.0,0,0,0
1713,280.0,0,0,0
1715,180.0,0,0,0
1717,180.0,0,0,0
1719,1580.0,0,1,0
1722,629.0,0,0,0
1724,624.0,0,0,0
1725,629.0,0,0,0
1726,622.0,0,0,0
1727,1580.0,0,1,0
1728,180.0,0,0,0
1729,5.0,0,0,0
1730,1235.0,0,0,0
1742,630.0,0,0,0
1743,80.0,0,0,0
1745,630.0,0,0,0
1746,5.0,0,0,0
1748,156.0,0,0,0
1762,5.0,0,0,0
1763,2.0,0,0,0
1766,628.0,0,0,0
1769,598.0,0,0,0
1770,1580.0,0,1,0
1774,1572.5,0,1,0
1776,628.0,0,0,0
1778,180.0,0,0,0
1781,180.0,0,0,0
1782,630.0,0,0,0
1785,180.0,0,0,0
1787,1580.0,0,1,0
1796,180.0,0,0,0
1800,180.0,0,0,0
1801,180.0,0,0,0
1802,627.0,0,0,0
1810,180.0,0,0,0
1811,180.0,0,0,0
1828,80.0,0,0,1
1839,300.0,0,1,0
1841,730.0,0,0,0
1842,100.0,0,0,0
1843,2380.0,0,0,0
1850,630.0,0,0,0
1851,630.0,0,0,0
1852,626.0,0,0,0
1853,630.0,0,0,0
1854,180.0,0,0,0
1856,1578.5,0,1,0
1858,1580.0,0,1,0
1859,189.0,0,0,0
1867,180.0,0,0,0
1868,1580.0,0,1,0
1870,4078.67,0,1,0
1873,882.0,0,0,0
1876,1580.0,0,1,0
1877,4080.0,0,1,0
1878,190.0,0,0,0
1883,505.0,0,0,0
1885,1590.0,0,1,0
1888,239.0,0,0,0
1889,191.0,0,0,0
1890,116.0,0,0,0
1891,170.0,0,0,0
1895,1580.0,0,1,0
1896,1580.0,0,1,0
1897,630.0,0,0,0
1900,740.0,0,0,0
1903,180.0,0,0,0
1904,90.0,0,0,0
1906,146.0,0,0,0
1907,146.0,0,0,0
1909,89.0,0,0,0
1910,92.0,0,0,0
1911,4080.0,0,1,0
1912,1580.0,0,1,0
1913,1580.0,0,1,0
1914,97.0,0,0,0
1915,200.0,0,0,0
1916,200.0,0,0,0
1917,80.0,0,0,0
1918,1577.0,0,1,0
1919,100.0,0,0,0
1920,1580.0,0,1,0
1921,1580.0,0,1,0
1922,10.0,0,0,0
1923,1580.0,0,1,0
1924,630.0,0,0,0
1925,1562.0,0,1,0
1926,1580.0,0,1,0
1927,1580.0,0,1,0
1928,180.0,0,0,0
1929,1580.0,0,1,0
1930,90.0,0,0,0
1931,4080.0,0,1,0
1933,1580.0,0,1,0
1934,630.0,0,0,0
1935,380.0,0,0,0
1936,92.0,0,0,0
1942,89.0,0,0,0
1943,1580.0,0,1,0
1946,180.0,0,0,0
1955,660.0,0,0,0
1956,1580.0,0,1,0
1960,2430.0,0,0,0
1968,630.0,0,0,0
1986,121.0,0,0,0
1988,231.0,0,0,0
2009,179.0,0,0,0
2010,130.0,0,0,0
2011,81.0,0,0,0
2012,107.0,0,0,0
2013,130.0,0,0,0
2017,547.0,0,0,0
2021,621.0,0,0,0
2024,1580.0,0,1,0
2026,630.0,0,0,0
2027,630.0,0,0,0
2028,90.0,0,0,0
