jobma_catcher_id,company_size,is_premium,subscription_status,jobma_catcher_status,sub_users,wallet_amount,is_unlimited,plan_type,subscription_sum,subscription_count,invitations,pre_recorded_kit_counts,number_of_jobs_posted,pre_rec_interview_taken,days_since_login
3199,26-100,1,2,1,0,60.0,1,1,1.3,1,0,0,0,0,1758
3203,1-25,1,2,1,0,60.0,1,1,0.3,1,0,0,0,0,1758
3205,26-100,1,2,1,0,60.0,1,1,1.7,1,0,0,0,0,1758
3206,1-25,1,2,1,2,60.0,1,0,1.5,1,18,3,3,3,1709
3209,101-500,1,2,1,0,60.0,1,1,0.3,1,0,0,0,0,0
3214,1-25,1,2,1,1,60.0,1,0,1.2,1,0,1,1,0,1758
3218,26-100,1,2,1,3,60.0,1,1,2.0,1,0,0,0,0,1757
3220,1-25,1,2,1,1,60.0,1,1,1.7,1,0,0,0,0,1758
3221,1-25,1,2,1,0,60.0,0,1,2.0,1,0,0,0,0,1758
3223,26-100,0,2,1,1,60.0,0,1,0.1,1,0,0,0,0,1758
3225,1-25,1,2,1,1,60.0,1,0,1.4,1,1,1,1,1,0
3226,26-100,1,2,1,0,60.0,1,1,1.7,1,0,0,0,0,1757
3228,26-100,1,2,1,1,60.0,1,0,117.6,1,0,0,0,0,1757
3229,1-25,1,2,1,3,60.0,0,0,0.0,1,0,0,0,0,1757
3238,26-100,1,2,1,1,60.0,1,0,11.8,1,1,1,1,1,1757
3241,26-100,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1757
3242,1-25,1,2,1,5,60.0,1,1,0.1,1,0,0,0,0,1754
3249,26-100,1,2,1,2,60.0,1,0,0.1,1,0,0,1,0,1753
3250,26-100,1,2,1,1,60.0,1,0,1.2,1,0,1,1,0,1754
3251,101-500,1,2,1,4,60.0,0,1,0.0,1,0,0,0,0,1754
3257,1-25,1,2,1,1,60.0,0,0,1.2,1,0,0,1,0,1753
3258,26-100,1,2,1,1,60.0,1,0,1.2,1,0,0,1,0,1753
3261,101-500,1,2,1,0,60.0,1,1,1.8,1,0,0,2,0,1754
3263,101-500,1,2,1,0,60.0,1,1,4.3,4,0,0,1,0,1753
3264,26-100,1,2,1,0,60.0,1,0,1.2,1,3,1,1,1,1454
3265,26-100,1,2,1,0,60.0,1,1,0.0,1,2,1,1,1,1753
3266,26-100,1,2,1,0,60.0,1,0,0.0,1,0,0,0,0,1754
3267,1-25,1,2,1,0,60.0,1,0,1.2,1,0,0,0,0,1754
3268,101-500,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1754
3269,26-100,1,2,1,0,60.0,1,1,1.2,1,0,0,0,0,1754
3270,26-100,1,2,1,0,60.0,0,1,1.2,1,0,0,0,0,1754
3271,101-500,1,2,1,0,60.0,1,0,13.2,2,0,0,0,0,1753
3272,1-25,1,2,1,0,60.0,0,0,23.6,2,0,0,0,0,1753
3273,1-25,0,2,1,0,60.0,0,0,0.0,1,0,0,0,0,1753
3275,1-25,1,2,1,1,60.0,0,0,0.1,1,0,0,0,0,1753
3277,26-100,1,2,1,1,60.0,0,0,2.3,1,0,0,0,0,1753
3279,1-25,0,2,1,0,60.0,0,0,1.2,2,0,0,0,0,0
3280,26-100,1,2,1,3,60.0,1,0,0.9,1,4,1,1,2,1753
3281,26-100,1,2,1,0,60.0,1,0,0.9,1,0,0,0,0,1753
3282,26-100,1,2,1,0,60.0,1,0,2.7,1,0,0,0,0,1753
3283,101-500,1,2,1,0,60.0,1,0,3.6,3,0,0,0,0,1753
3284,1-25,1,2,1,0,60.0,1,1,1.2,1,0,0,0,0,1753
3285,26-100,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1753
3286,26-100,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,1753
3288,1-25,1,2,1,1,60.0,0,0,0.1,1,0,0,0,0,1753
3289,26-100,1,2,1,1,60.0,0,0,1.6,1,0,1,1,0,1753
3291,101-500,1,2,1,0,60.0,1,0,2.4,2,3,1,1,1,1753
3292,26-100,1,2,1,1,60.0,1,0,1.2,1,0,0,0,0,1753
3293,101-500,1,2,1,0,60.0,1,1,1.2,1,1,1,1,1,1753
3294,1-25,1,2,1,0,60.0,1,1,4.0,3,0,0,0,0,1753
3297,1-25,0,1,1,0,60.0,0,0,20.3,6,0,0,0,0,0
3298,1-25,1,2,1,0,60.0,1,0,2.4,2,0,0,0,0,1753
3299,26-100,1,2,1,0,60.0,1,0,0.0,1,0,0,0,0,1753
3303,26-100,1,2,1,0,60.0,1,1,11.8,1,1,1,1,1,1753
3304,26-100,1,2,1,0,60.0,1,0,1.4,1,0,0,0,0,1753
3305,26-100,1,2,1,0,60.0,1,1,13.9,1,3,1,1,2,1753
3306,101-500,1,2,1,0,60.0,0,0,0.2,1,0,0,0,0,1753
3307,101-500,0,2,1,0,60.0,0,1,13.9,1,0,0,0,0,1753
3308,101-500,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1753
3309,26-100,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1753
3310,26-100,0,2,1,0,60.0,0,0,2.3,1,0,0,0,0,1753
3311,101-500,0,2,1,0,60.0,0,0,2.3,1,0,0,0,0,1753
3312,26-100,0,2,1,0,60.0,0,0,2.3,1,0,0,0,0,1753
3313,500-1000,0,2,1,0,60.0,0,0,2.3,1,0,0,0,0,1753
3314,26-100,0,2,1,0,60.0,0,1,1.4,1,0,0,0,0,1753
3315,26-100,0,2,1,0,60.0,0,0,2.3,1,0,0,0,0,1753
3316,1-25,0,2,1,0,60.0,0,1,0.6,1,0,0,0,0,1753
3317,26-100,1,2,1,1,60.0,0,0,2.4,2,178,1,1,0,1750
3318,1-25,1,2,1,1,60.0,0,1,0.1,1,0,0,0,0,1752
3320,1-25,1,2,1,1,60.0,0,0,2.3,1,0,0,0,0,1752
3322,101-500,1,2,1,1,60.0,0,0,235.3,1,0,0,0,0,1752
3324,1-25,0,2,1,1,60.0,0,1,13.9,1,1,2,2,0,1752
3325,1-25,1,2,1,1,60.0,1,0,123.5,1,0,0,0,0,1752
3327,26-100,1,2,1,0,60.0,1,1,1.2,1,0,0,0,0,1752
3328,26-100,1,2,1,1,60.0,0,1,52.9,1,0,0,0,0,1752
3329,26-100,1,2,1,0,60.0,0,0,1.2,1,0,0,0,0,1752
3330,26-100,1,2,1,0,60.0,1,1,11.8,1,0,0,0,0,1752
3332,1-25,1,2,1,0,60.0,1,1,109.0,1,0,0,0,0,1752
3333,1-25,1,2,1,0,60.0,1,0,82.4,1,0,0,0,0,1752
3334,1-25,1,2,1,0,60.0,1,0,13.0,2,6,1,1,1,1752
3336,26-100,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,1750
3337,26-100,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1750
3339,26-100,0,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1750
3340,26-100,1,2,1,0,60.0,0,0,2.3,1,0,0,0,0,1750
3341,101-500,1,2,1,0,60.0,1,0,11.8,1,0,0,0,0,1750
3342,101-500,1,2,1,0,60.0,1,1,13.2,2,0,0,0,0,1750
3343,26-100,1,2,1,0,60.0,0,0,41.2,2,0,0,0,0,1750
3344,26-100,1,2,1,0,60.0,0,1,27.8,2,0,0,0,0,1750
3345,1-25,1,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1750
3346,26-100,0,2,1,0,60.0,0,1,0.0,1,0,0,0,0,1747
3347,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1747
3348,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1747
3349,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1747
3350,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1747
3351,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1746
3352,1-25,1,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1746
3353,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1744
3354,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3355,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3356,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3357,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3358,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3359,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3360,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3361,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3362,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3363,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3364,26-100,0,2,1,0,60.0,0,1,0.1,1,0,0,0,0,0
3365,26-100,0,2,1,0,60.0,0,1,0.0,1,3,1,1,0,1743
3366,1-25,1,2,1,0,60.0,0,1,138.8,1,0,0,0,0,1743
3367,1-25,0,2,1,0,60.0,0,1,0.3,1,0,0,0,0,1743
3368,1-25,1,2,1,0,60.0,0,1,588.2,1,0,0,0,0,0
