catcher_id,jobma_catcher_company,jobma_functional,jobma_catcher_indus,jobma_catcher_title,jobma_catcher_otype,jobma_catcher_status,jobma_catcher_creation,jobma_catcher_type,is_premium,jobma_verified,subscription_status,sub_user,per_sub_user,live_interview_credit,pre_recorded_credit,ai_live_interview_credit,interview_cost_type,referral_credit,company_size,ai_live_interview
414,Contract Central,Accounting & Finance,Accounting & Finance,0,Employer,1,2015-07-29,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
426,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
427,Montana distributors,Administrative & Clerical,Wholesalers,0,Employer,0,2015-08-06,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
428,goTask,Other,Other,0,Recruiting Firm,1,2015-08-11,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
431,Engage Hospitality,Hospitality,"Hotels, Lodging, & Tourism",0,Employer,1,2015-08-13,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
433,Sweta Singh ,Accounting & Finance,Accounting & Finance,0,Employer,1,2015-08-17,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
434,Sita,IT Software- ERP / CRM,Business Services,0,Employer,0,2015-08-17,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
437,Adriana Hallmark,Accounting & Finance,Accounting & Finance,0,Recruiting Firm,1,2015-08-19,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
440,Standard Window Cleaning Inc,Skilled Labor,Accounting & Finance,0,Employer,1,2015-08-23,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
443,Hugelife Management Services Private Limited,Sales,Management,0,Recruiting Firm,1,2015-08-26,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
446,Select Source International,Recruitment,"IT Recruiting, Staffing, & Temporary Labor",0,1,1,2015-08-29,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
447,WDI pvt ltd,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-08-29,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
454,Select Source International,Other,Recruitment,0,1,1,2014-04-08,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
456,Loopat,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-09-04,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
457,Autusbridge Ltd,Business,Accounting & Finance,0,Employer,0,2015-09-05,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
462,Envision27 Recruitment Private Limited,Recruitment,Recruitment,0,,0,2015-09-09,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
466,Cyber Cerebs,Accounting & Finance,Accounting & Finance,0,Employer,1,2015-09-15,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
467,QuadRipple,Accounting & Finance,Accounting & Finance,0,Employer,1,2015-09-15,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
469,Amazon,Recruitment,Recruitment,0,,1,2015-09-18,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
476,Pitch Creative ,Accounting & Finance,Accounting & Finance,0,Employer,0,2015-10-04,0,1,1,2,999,100,1.0,1.0,1.0,1,0,1-25,0
478,Envision27 Recruitment Private Limited,Recruitment,Recruitment,0,,1,2015-10-05,0,0,1,1,0,100,1.0,1.0,1.0,1,0,1-25,0
